"","game_id","team","point_diff","week","season"
"480","2011_15_DAL_TB","TB",-16,15,2011
"481","2011_15_DET_OAK","LV",-1,15,2011
"482","2011_15_GB_KC","KC",5,15,2011
"483","2011_15_JAX_ATL","ATL",27,15,2011
"484","2011_15_MIA_BUF","BUF",-7,15,2011
"485","2011_15_NE_DEN","DEN",-18,15,2011
"486","2011_15_NO_MIN","MIN",-22,15,2011
"487","2011_15_NYJ_PHI","PHI",26,15,2011
"488","2011_15_PIT_SF","SF",17,15,2011
"489","2011_15_SEA_CHI","CHI",-24,15,2011
"490","2011_15_TEN_IND","IND",14,15,2011
"491","2011_15_WAS_NYG","NYG",-13,15,2011
"492","2011_16_ARI_CIN","CIN",7,16,2011
"493","2011_16_ATL_NO","NO",29,16,2011
"494","2011_16_CHI_GB","GB",14,16,2011
"495","2011_16_CLE_BAL","BAL",6,16,2011
"496","2011_16_DEN_BUF","BUF",26,16,2011
"497","2011_16_HOU_IND","IND",3,16,2011
"498","2011_16_JAX_TEN","TEN",6,16,2011
"499","2011_16_MIA_NE","NE",3,16,2011
"500","2011_16_MIN_WAS","WAS",-7,16,2011
"501","2011_16_NYG_NYJ","NYJ",-15,16,2011
"502","2011_16_OAK_KC","KC",-3,16,2011
"503","2011_16_PHI_DAL","DAL",-13,16,2011
"504","2011_16_SD_DET","DET",28,16,2011
"505","2011_16_SF_SEA","SEA",-2,16,2011
"506","2011_16_STL_PIT","PIT",27,16,2011
"507","2011_16_TB_CAR","CAR",32,16,2011
"508","2011_17_BAL_CIN","CIN",-8,17,2011
"509","2011_17_BUF_NE","NE",28,17,2011
"510","2011_17_CAR_NO","NO",28,17,2011
"511","2011_17_CHI_MIN","MIN",-4,17,2011
"512","2011_17_DAL_NYG","NYG",17,17,2011
"513","2011_17_DET_GB","GB",4,17,2011
"514","2011_17_IND_JAX","JAX",6,17,2011
"515","2011_17_KC_DEN","DEN",-4,17,2011
"516","2011_17_NYJ_MIA","MIA",2,17,2011
"517","2011_17_PIT_CLE","CLE",-4,17,2011
"518","2011_17_SD_OAK","LV",-12,17,2011
"519","2011_17_SEA_ARI","ARI",3,17,2011
"520","2011_17_SF_STL","LA",-7,17,2011
"521","2011_17_TB_ATL","ATL",21,17,2011
